Date,Description,Deposits,Withdrawls,Balance
2020-08-20,Cash,97540.0,0.0,170542.01
2020-08-20,Commission,0.0,34108.4,136433.61
2020-08-20,ATM,41.0,0.0,136474.61
2020-08-20,Interest,50.0,0.0,136524.61
2020-08-20,Commission,0.0,34131.15,102393.46
2020-08-20,Reversal,0.0,17065.58,85327.88
2020-08-20,Reversal,204765.0,0.0,290092.88
2020-08-20,Cheque,53121.0,0.0,343213.88
2020-08-20,NEFT,7.1,0.0,343220.98
2020-08-20,IMPS,3.46,0.0,343224.44
2020-08-20,Transfer,3.0,0.0,343227.44
2020-08-20,RTGS,223558.62,0.0,566786.06
2020-08-20,ATM,496536.75,0.0,1063322.81
2020-08-20,Reversal,770726.0,0.0,1834048.81
2020-08-20,Interest,0.0,1834048.81,0.0
2020-08-20,Bill,0.01,0.0,0.01
2020-08-20,Commission,18690.68,0.0,18690.69
2020-08-20,Cash,0.0,1869.07,16821.62
2020-08-20,Cheque,190.0,0.0,17011.62
2020-08-20,Tax,55.0,0.0,17066.62
2020-08-20,ATM,0.0,1896.29,15170.33
2020-08-20,Transfer,0.0,3034.07,12136.26
2020-08-20,ATM,26.6,0.0,12162.86
2020-08-20,ATM,0.0,6081.43,6081.43
2020-08-20,NEFT,1986737.8,0.0,1992819.23
2020-08-20,Reversal,0.0,664273.08,1328546.15
2020-08-20,Cash,3.81,0.0,1328549.96
2020-08-20,RTGS,1474.0,0.0,1330023.96
2020-08-20,Interest,0.0,147780.44,1182243.52
2020-08-20,Bill,0.0,168891.93,1013351.59
2020-08-20,Transfer,191.0,0.0,1013542.59
2020-08-20,Interest,22709.69,0.0,1036252.28
2020-08-20,ATM,44.0,0.0,1036296.28
2020-08-20,Interest,54.05,0.0,1036350.33
2020-08-20,IMPS,178.0,0.0,1036528.33
2020-08-20,ATM,0.0,518264.17,518264.16
2020-08-20,Miscellaneous,0.0,103652.83,414611.33
2020-08-20,Cash,16.0,0.0,414627.33
2020-08-20,Transfer,0.0,46069.7,368557.63
2020-08-20,Debit Card,0.0,184278.82,184278.82
2020-08-20,NEFT,0.0,30713.14,153565.68
2020-08-21,Cash,14418.1,0.0,167983.78
2020-08-21,RTGS,0.0,33596.76,134387.02
2020-08-21,Purchase,0.0,44795.67,89591.35
2020-08-21,Debit Card,492.86,0.0,90084.21
2020-08-21,ATM,0.0,90084.21,0.0
2020-08-21,RTGS,8.0,0.0,8.0
2020-08-21,Bill,7099.0,0.0,7107.0
2020-08-21,Purchase,2.6,0.0,7109.6
2020-08-21,NEFT,772.4,0.0,7882.0
2020-08-21,Bill,1335369.25,0.0,1343251.25
